Make,Model,Device Type,Asset Class,Product Number,Date Introduced,Status,Device Product Family,Product Category Name,Print Technology,Region,Country,Currency Symbol,Currency Code,Currency Rate,UNSPSC,European Article Number,Supported Countries,Supported Regions,Conn Network,Conn Network Protocols,Conn Local,Conn Network Standard,Has Wifi,Standards,Width,Width Unit,Depth,Depth Unit,Height,Height Unit,Weight,Weight Unit,Speed Mono,Speed Mono Unit,Mono PPM Notes,Speed Color,Speed Color Unit,Color PPM Notes,Print DPI,Mono Speed First Page Output,Color Speed First Page Output,Standard Input Capacity,Maximum Input Capacity,Auto Document Feeder Input Capacity,Number Of Standard Paper Trays,Maximum Number Of Paper Trays,Standard Output Capacity,Maximum Output Capacity,Has A3,Has A4,Has A5,Has Color,Has Duplex,Print,Copy,Scan,Fax,Energy Saving Certifications,EconoMode,Scan To Folder,Scan To Email,Scan to USB,Scan To Share Point,Pcl3Gui,Pcl5E,Pcl6,Hpgl2,Postscript,Rpcs,IBM Pro Printer,Epsonfx,Brscript3,Direct PDF,Printer Language Notes,Rmpv Low,Rmpv High,Rmpv Max,Rmpv Notes,Power Active,Power Active Unit,Power Idle,Power Idle Unit,Power Save,Power Save Unit,Power Notes,List Price,List Price In Country Currency,List Price Website,List Price Date,Street Price,Street Price In Country Currency,Street Price Website,Street Price Date,Record Creation Date,Created By,Record Updated Date,Updated By,Url,ITT Segment,Segment,Comments
MTK,ArtixScan F2,Scanner,Personal,ArtixScan F2,NA,Active,ArtixScan Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,True,USB 2.0,False,NA,22.3,in,15.1,in,6.3,in,26.4,lbs,0,ppm,NA,0,ppm,NA,4800 x 9600,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,2771.14,2182.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-artixscan-f2-a4-graphics-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Has Wifi, Standards, Speed Mono, Mono PPM Notes, Speed Color"
MTK,ScanMaker 9800XL,Scanner,Workgroup,ScanMaker 9800XL,NA,Active,ScanMaker Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,True,USB 2.0,False,NA,27.4,in,14.8,in,5.1,in,26.4,lbs,0,ppm,NA,0,ppm,NA,3200 x 1600,0,0,0,0,0,0,0,0,0,True,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,2479.04,1952.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-scanmaker-9800xl-plus-a3-graphics-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Has Wifi, Standards, Speed Mono, Mono PPM Notes, Speed Color"
MTK,ArtixScan 3200XL,Scanner,Workgroup,ArtixScan 3200XL,NA,Active,ArtixScan Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,True,USB 2.0,False,NA,24.7,in,14.8,in,7.3,in,35.4,lbs,0,ppm,NA,0,ppm,NA,3200 x 6400,0,0,0,0,0,0,0,0,0,True,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,4665.98,3674.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-artixscan-3200xl-a3-professional-graphics-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Has Wifi, Standards, Speed Mono, Mono PPM Notes, Speed Color"
MTK,LS-3800,Scanner,Enterprise,LS-3800,NA,Active,LS Series Large Format,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,False,NA,False,NA,52.4,in,34.3,in,34.6,in,379,lbs,0,ppm,NA,0,ppm,NA,800 x 800,0,0,0,0,0,0,0,0,0,True,True,True,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,29203.65,22995.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-ls-3800-a1-flatbed-large-format-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Conn Local, Conn Network Standard, Has Wifi, Standards, Speed Mono"
MTK,LS-4600,Scanner,Enterprise,LS-4600,NA,Active,LS Series Large Format,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,False,NA,False,NA,66.5,in,43.3,in,16.9,in,374.8,lbs,0,ppm,NA,0,ppm,NA,600 x 600,0,0,0,0,0,0,0,0,0,True,True,True,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,48092.36,37868.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-ls-4600-a0-flatbed-large-format-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Conn Local, Conn Network Standard, Has Wifi, Standards, Speed Mono"
MTK,ObjectScan 1600,Scanner,Personal,ObjectScan 1600,NA,Active,ObjectScan Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,False,NA,False,NA,29.5,in,18.5,in,14.8,in,103,lbs,0,ppm,NA,0,ppm,NA,1600 x 1600,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,14986.0,11800.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-objectscan1600-specimen-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Conn Local, Conn Network Standard, Has Wifi, Standards, Speed Mono"
MTK,Medi-6000,Scanner,Enterprise,Medi-6000,NA,Active,Medical Imaging Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,True,USB 2.0,False,NA,12.0,in,18.7,in,9.2,in,19.18,lbs,0,ppm,NA,0,ppm,NA,600 x 600,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,13155.93,10359.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-medi-6000-plus-medical-film-x-ray-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Has Wifi, Standards, Speed Mono, Mono PPM Notes, Speed Color"
MTK,Medi-7000,Scanner,Enterprise,Medi-7000,NA,Active,Medical Imaging Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,True,USB 2.0,False,NA,13.0,in,20.7,in,17.1,in,38.58,lbs,0,ppm,NA,0,ppm,NA,600 x 600,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,15750.54,12402.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-medi-7000-medical-film-x-ray-scanner/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Has Wifi, Standards, Speed Mono, Mono PPM Notes, Speed Color"
MTK,Bio-5000,Scanner,Enterprise,Bio-5000,NA,Active,Bio Imaging Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,False,NA,False,NA,0,in,0,in,0,in,0,lbs,0,ppm,NA,0,ppm,NA,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,5599.43,4409.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-bio-5000-plus-bio-rad-gel-imager/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Conn Local, Conn Network Standard, Has Wifi, Standards, Width"
MTK,Bio-5050,Scanner,Enterprise,Bio-5050,NA,Active,Bio Imaging Series,Printer,Scanner,EMEA,United Kingdom,£,GBP,1.0,43211711,0,NA,NA,False,NA,True,USB 2.0,False,NA,22.3,in,15.1,in,6.3,in,0,lbs,60,ppm,60 sec @300 dpi,0,ppm,NA,4800 x 4800,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,False,True,False,NA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NA,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,businessdigitalmachines.co.uk,04/16/2026,6464.3,5090.00,NA,04/16/2026,04/16/2026,DDS Automation,04/16/2026,DDS Automation,https://businessdigitalmachines.co.uk/product/microtek-bio-5050-electrophoresis-high-stability-gel-imager/,Scanner,Scanner,"Missing data for: Date Introduced, Supported Countries, Supported Regions, Conn Network, Conn Network Protocols, Has Wifi, Standards, Weight, Speed Color, Color PPM Notes"
